n_mfcc,round,center_0_x,center_0_y,center_1_x,center_1_y,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
1,0,-64.40401,-62.457756,-76.01946,-74.51278,473,574,242,10,0.8060046189376443,0.6615384615384615,0.979296066252588,0.7034313725490197,0.7896494156928214
1,1,-54.69214,-52.787,-107.88138,-105.62065,478,536,280,5,0.7806004618937644,0.6306068601583114,0.989648033126294,0.6568627450980392,0.7703464947622884
1,2,-55.926395,-54.06035,-108.290344,-106.17819,478,503,313,5,0.7551963048498845,0.6042983565107459,0.989648033126294,0.616421568627451,0.7503924646781791
1,3,-54.923508,-52.977066,-106.88525,-104.63005,476,560,255,6,0.7987663839629915,0.6511627906976745,0.9875518672199171,0.6871165644171779,0.7848309975267932
1,4,-54.180817,-52.38913,-108.44408,-106.22687,476,535,281,7,0.7782909930715936,0.6287978863936592,0.9855072463768116,0.6556372549019608,0.7677419354838709
2,0,-55.109604,10.0419855,-106.02643,7.9838,474,533,283,9,0.775211701308699,0.6261558784676354,0.9813664596273292,0.6531862745098039,0.7645161290322581
2,1,-54.337067,10.074166,-107.09403,7.66475,473,521,294,9,0.7663839629915189,0.6166883963494133,0.9813278008298755,0.6392638036809816,0.7574059247397917
2,2,-54.234478,9.992219,-106.037094,7.9042015,478,531,285,5,0.7767513471901463,0.6264744429882044,0.989648033126294,0.6507352941176471,0.7672552166934189
2,3,-53.453007,10.15602,-105.58833,7.9889307,478,533,283,5,0.7782909930715936,0.6281208935611038,0.989648033126294,0.6531862745098039,0.7684887459807074
2,4,-54.191936,10.064799,-106.515396,7.9005637,474,523,293,9,0.7675134719014627,0.6179921773142112,0.9813664596273292,0.6409313725490197,0.7583999999999999
3,0,-54.170345,10.078075,-106.053734,8.156274,470,535,281,13,0.7736720554272517,0.625832223701731,0.9730848861283644,0.6556372549019608,0.7617504051863857
3,1,-53.537716,10.067183,-107.250015,7.83645,471,504,312,12,0.7505773672055427,0.6015325670498084,0.9751552795031055,0.6176470588235294,0.7440758293838863
3,2,-54.880993,10.16861,-107.017334,7.647452,474,505,311,9,0.7536566589684373,0.6038216560509554,0.9813664596273292,0.6188725490196079,0.7476340694006308
3,3,-54.68226,9.955178,-106.85403,8.069657,474,518,298,8,0.7642526964560863,0.6139896373056994,0.983402489626556,0.6348039215686274,0.7559808612440191
3,4,-54.314686,10.025481,-105.886635,8.018561,476,524,292,7,0.7698229407236336,0.6197916666666666,0.9855072463768116,0.6421568627450981,0.7609912070343725
4,0,-53.821198,10.223256,-106.57869,7.815264,476,544,272,7,0.7852193995381063,0.6363636363636364,0.9855072463768116,0.6666666666666666,0.7733549959382615
4,1,-53.014175,10.108079,-105.56806,7.9659348,470,535,281,13,0.7736720554272517,0.625832223701731,0.9730848861283644,0.6556372549019608,0.7617504051863857
4,2,-54.5746,10.010055,-106.491234,7.6830273,476,519,297,7,0.7659738260200154,0.6157826649417852,0.9855072463768116,0.6360294117647058,0.7579617834394904
4,3,-54.39306,10.119458,-106.17456,8.08142,475,524,292,7,0.7696456086286595,0.6192959582790091,0.9854771784232366,0.6421568627450981,0.7606084867894314
4,4,-54.70622,9.974007,-105.45394,8.077984,475,516,299,8,0.763482280431433,0.6136950904392765,0.9834368530020704,0.6331288343558282,0.7557677008750995
