n_mfcc,round,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
1,0,452,455,361,30,0.6987673343605547,0.5559655596555966,0.9377593360995851,0.5575980392156863,0.6980694980694981
1,1,446,595,221,36,0.8020030816640986,0.6686656671664168,0.9253112033195021,0.7291666666666666,0.7763272410791994
1,2,442,584,232,40,0.7904468412942989,0.655786350148368,0.91701244813278,0.7156862745098039,0.7647058823529411
1,3,435,555,261,47,0.7627118644067796,0.625,0.9024896265560166,0.6801470588235294,0.7385398981324279
1,4,431,529,287,51,0.7395993836671803,0.6002785515320335,0.8941908713692946,0.6482843137254902,0.7183333333333333
1,5,446,618,198,36,0.8197226502311248,0.6925465838509317,0.9253112033195021,0.7573529411764706,0.7921847246891652
1,6,425,476,340,57,0.6941448382126348,0.5555555555555556,0.8817427385892116,0.5833333333333334,0.6816359262229351
1,7,436,603,213,46,0.800462249614792,0.6718027734976888,0.9045643153526971,0.7389705882352942,0.770999115826702
1,8,443,611,205,39,0.8120184899845917,0.683641975308642,0.9190871369294605,0.7487745098039216,0.784070796460177
1,9,408,483,333,74,0.6864406779661016,0.5506072874493927,0.8464730290456431,0.5919117647058824,0.6672117743254292
